datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,WEST,CE,CE,7816.404,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,WEST,DAY,DAY,1372.000,False
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,WEST,DEOK,DEOK,2082.968,False
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,SERC,SOUTH,DOM,DOM,8923.279,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,DPL,DPLCO,1587.871,False
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,WEST,DUQ,DUQ,1138.237,False
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,DPL,EASTON,22.130,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,SERC,WEST,EKPC,EKPC,1055.067,False
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,JC,JC,1826.639,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,ME,ME,1303.830,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,WEST,ATSI,OE,5066.920,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,WEST,OVEC,OVEC,38.000,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,WEST,ATSI,PAPWR,407.981,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,PE,PE,3197.656,False
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,1960.678,False
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,PL,PLCO,3554.363,False
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,PN,PN,1507.120,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,PS,PS,3710.629,False
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,RECO,RECO,114.025,False
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,PEP,SMECO,298.053,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,PL,UGI,102.253,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RFC,MIDATL,AE,VMEU,59.085,True
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,RTO,RTO,RTO,RTO,65983.763,False
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,AE,AECO,780.185,False
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,WEST,AEP,AEPAPT,3578.498,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,WEST,AEP,AEPIMP,2426.323,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,WEST,AEP,AEPKPT,521.358,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,WEST,AEP,AEPOPT,4711.462,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,WEST,AP,AP,4476.458,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,BC,BC,2505.397,False
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,WEST,CE,CE,7873.396,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,WEST,DAY,DAY,1373.000,False
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,WEST,DEOK,DEOK,2087.394,False
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,SERC,SOUTH,DOM,DOM,8938.911,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,DPL,DPLCO,1602.089,False
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,WEST,DUQ,DUQ,1141.352,False
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,DPL,EASTON,22.140,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,SERC,WEST,EKPC,EKPC,1102.551,False
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,JC,JC,1835.465,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,ME,ME,1313.822,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,WEST,ATSI,OE,5104.321,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,WEST,OVEC,OVEC,38.000,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,WEST,ATSI,PAPWR,411.456,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,PE,PE,3209.774,False
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,PEP,PEPCO,1955.080,False
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,PL,PLCO,3559.365,False
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,PN,PN,1499.144,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,PS,PS,3711.842,False
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,RECO,RECO,113.950,False
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,PEP,SMECO,297.209,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,PL,UGI,102.478,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RFC,MIDATL,AE,VMEU,59.038,True
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,RTO,RTO,RTO,RTO,66351.458,False
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,AE,AECO,797.266,False
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,WEST,AEP,AEPAPT,3598.371,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,WEST,AEP,AEPIMP,2392.339,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,WEST,AEP,AEPKPT,518.416,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,WEST,AEP,AEPOPT,4768.415,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,WEST,AP,AP,4538.476,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,BC,BC,2579.830,False
