datetime_date,datetime_time,mw
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,2210.33
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,9480.364
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,1687.361
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,1168.342
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,23.725
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,1159.903
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,1947.52
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,1403.523
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,5383.214
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,42
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,419.455
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,3373.7
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,2051.013
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,3782.425
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,1601.635
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,3804.156
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,118.55
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,317.068
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,109.609
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,60.767
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,69655.95
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,838.973
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,3833.107
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,2558.583
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,520.544
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,5018.641
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,4781.512
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,2758.404
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,8470.954
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,1512
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,2280.116
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,9827.16
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,1749.212
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,1200.369
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,25.271
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,1210.65
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,1980.935
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,1472.365
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,5512.767
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,35
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,445.15
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,3490.244
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,2085.244
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,3961.72
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,1677.106
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,3859.239
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,121.924
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,331.113
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,113.048
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,61.489
11/1/2020 12:00:00 PM,11/1/2020 7:00:00 AM,71732.84
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,866.85
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,3960.468
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,2673.475
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,528.898
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,5226.984
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,4933.792
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,2872.573
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,8666.69
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,1582
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,2360.761
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,10201.129
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,1785.948
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,1241.921
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,25.744
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,1274.38
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,2025.657
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,1539.291
