route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,sum_ridership,day_count
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-01-01,201901,WEEKDAY,1920,,22
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-01-22,201901,WEEKDAY,5715,,22
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-02-01,201902,SAT.,1844,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-02-04,201902,SAT.,4528,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-02-01,201902,SUN.,1338,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-02-04,201902,SUN.,3514,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-02-01,201902,WEEKDAY,2050,,20
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-02-20,201902,WEEKDAY,6512,,20
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-03-01,201903,SAT.,1754,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-03-05,201903,SAT.,4138,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-03-01,201903,SUN.,1220,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-03-06,201903,SUN.,3128,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-03-01,201903,WEEKDAY,2008,,21
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-03-21,201903,WEEKDAY,6138,,21
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-04-01,201904,SAT.,2020,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-04-04,201904,SAT.,4867,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-04-01,201904,SUN.,1095,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-04-05,201904,SUN.,3598,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-04-01,201904,WEEKDAY,2082,,22
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-04-22,201904,WEEKDAY,6483,,22
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-05-01,201905,SAT.,2081,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-05-04,201905,SAT.,4624,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-05-01,201905,SUN.,1345,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-05-05,201905,SUN.,3366,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-05-01,201905,WEEKDAY,2118,,22
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2019-05-22,201905,WEEKDAY,6138,,22
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-06-01,201906,SAT.,2032,,5
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-06-01,201906,SUN.,1421,,5
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-06-01,201906,WEEKDAY,2158,,20
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-07-01,201907,SAT.,2020,,4
,,,,,,,,,,
