route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,day_count
24,24,24 - WEST PARK,Collier,Bus,2017-07-01,201707,WEEKDAY,1704,20
26,26,26 - CHARTIERS,Collier,Bus,2017-07-01,201707,WEEKDAY,1043,20
27,27,27 - FAIRYWOOD,Collier,Bus,2017-07-01,201707,WEEKDAY,1193,20
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-07-01,201707,WEEKDAY,1953,20
29,29,29 - ROBINSON,Collier,Bus,2017-07-01,201707,WEEKDAY,839,20
31,31,31 - BRIDGEVILLE,Collier,Bus,2017-07-01,201707,WEEKDAY,1708,20
36,36,36 - BANKSVILLE,Collier,Bus,2017-07-01,201707,WEEKDAY,550,20
38,38,38 - GREEN TREE,Collier,Bus,2017-07-01,201707,WEEKDAY,2630,20
39,39,39 - BROOKLINE,Collier,Bus,2017-07-01,201707,WEEKDAY,1446,20
40,40,40 - MOUNT WASHINGTON,Collier,Bus,2017-07-01,201707,WEEKDAY,656,20
41,41,41 - BOWER HILL,Collier,Bus,2017-07-01,201707,WEEKDAY,1727,20
43,43,43 - BAILEY,Collier,Bus,2017-07-01,201707,WEEKDAY,678,20
44,44,44 - VIA KNOXVILLE,Collier,Bus,2017-07-01,201707,WEEKDAY,1073,20
48,48,48 - ARLINGTON,Collier,Bus,2017-07-01,201707,WEEKDAY,2895,20
51,51,51 - CARRICK,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,7762,20
51L,051L,51L - CARRICK LIMITED,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,643,20
52L,052L,52L - HOMEVILLE LIMITED,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,381,20
53L,053L,53L - HOMESTEAD PARK LIMITED,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,1337,20
54,54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-07-01,201707,WEEKDAY,3369,20
55,55,55 - GLASSPORT,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,870,20
56,56,56 - LINCOLN PLACE,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,1651,20
57,57,57 - HAZELWOOD,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,1221,20
58,58,58 - GREENFIELD,East Liberty,Bus,2017-07-01,201707,WEEKDAY,926,20
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,2168,20
